dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.119740,7.592622,0.000199,0.019949,0.997470,49.873524,3.687294
0.020000,5.119740,7.592622,0.000997,0.059848,1.994941,49.873524,3.688072
0.020000,5.119083,7.592221,0.002593,0.099747,1.994941,-0.000000,3.689625
0.020000,5.117041,7.590972,0.004987,0.139646,1.994941,0.000000,3.691945
0.020000,5.114323,7.589298,0.008179,0.179545,1.994941,-0.000000,3.695023
0.020000,5.110933,7.587195,0.012169,0.219444,1.994941,0.000000,3.698842
0.020000,5.106875,7.584653,0.016957,0.259342,1.994941,0.000000,3.703386
0.020000,5.102156,7.581665,0.022543,0.299241,1.994941,-0.000000,3.708633
0.020000,5.096781,7.578220,0.028927,0.339140,1.994941,0.000000,3.714557
0.020000,5.090759,7.574307,0.036108,0.379039,1.994941,0.000000,3.721128
0.020000,5.084098,7.569913,0.044088,0.418938,1.994941,0.000000,3.728315
0.020000,5.076807,7.565025,0.052866,0.458836,1.994941,0.000000,3.736079
0.020000,5.068897,7.559629,0.062442,0.498735,1.994941,0.000000,3.744380
0.020000,5.060378,7.553710,0.072815,0.538634,1.994941,0.000000,3.753175
0.020000,5.051261,7.547253,0.083987,0.578533,1.994941,-0.000000,3.762416
0.020000,5.041558,7.540243,0.095957,0.618432,1.994941,-0.000000,3.772050
0.020000,5.031283,7.532665,0.108724,0.658331,1.994941,0.000000,3.782025
0.020000,5.020448,7.524503,0.122290,0.698229,1.994941,0.000000,3.792283
0.020000,5.009065,7.515742,0.136653,0.738128,1.994941,0.000000,3.802764
0.020000,4.997149,7.506369,0.151815,0.778027,1.994941,0.000000,3.813406
0.020000,4.984711,7.496368,0.167775,0.817926,1.994941,0.000000,3.824146
0.020000,4.971766,7.485727,0.184532,0.857825,1.994941,0.000000,3.834917
0.020000,4.958324,7.474435,0.202088,0.897723,1.994941,0.000000,3.845653
0.020000,4.944399,7.462479,0.220441,0.937622,1.994941,-0.000000,3.856287
0.020000,4.930001,7.449852,0.239592,0.977521,1.994941,0.000000,3.866748
0.020000,4.915139,7.436543,0.259542,1.017420,1.994941,-0.000000,3.876970
0.020000,4.899824,7.422548,0.280289,1.057319,1.994941,0.000000,3.886882
0.020000,4.884061,7.407860,0.301835,1.097218,1.994941,-0.000000,3.896415
0.020000,4.867857,7.392476,0.324178,1.137116,1.994941,0.000000,3.905500
0.020000,4.851216,7.376395,0.347319,1.177015,1.994941,0.000000,3.914068
0.020000,4.834139,7.359618,0.371259,1.216914,1.994941,-0.000000,3.922049
0.020000,4.816626,7.342148,0.395996,1.256813,1.994941,0.000000,3.929373
0.020000,4.798674,7.323988,0.421531,1.296712,1.994941,-0.000000,3.935968
0.020000,4.780278,7.305146,0.447864,1.336610,1.994941,0.000000,3.941763
0.020000,4.761428,7.285632,0.474995,1.376509,1.994941,-0.000000,3.946683
0.020000,4.742114,7.265458,0.502925,1.416408,1.994941,0.000000,3.950650
0.020000,4.722319,7.244639,0.531652,1.456307,1.994941,0.000000,3.953584
0.020000,4.702026,7.223193,0.561177,1.496206,1.994941,-0.000000,3.955400
0.020000,4.681211,7.201143,0.591500,1.536105,1.994941,0.000000,3.956006
0.020000,4.659847,7.178513,0.622621,1.576003,1.994941,-0.000000,3.955304
0.020000,4.637904,7.155333,0.654540,1.615902,1.994941,0.000000,3.953189
0.020000,4.615343,7.131639,0.687257,1.655801,1.994941,-0.000000,3.949542
0.020000,4.592124,7.107470,0.720772,1.695700,1.994941,0.000000,3.944238
0.020000,4.568199,7.082874,0.755085,1.735599,1.994941,0.000000,3.937133
0.020000,4.543515,7.057904,0.790196,1.775497,1.994941,-0.000000,3.928071
0.020000,4.518014,7.032624,0.826105,1.815396,1.994941,0.000000,3.916879
0.020000,4.491628,7.007105,0.862812,1.855295,1.994941,-0.000000,3.903365
0.020000,4.464288,6.981433,0.900317,1.895194,1.994941,0.000000,3.887318
0.020000,4.435913,6.955704,0.938620,1.935093,1.994941,-0.000000,3.868509
0.020000,4.406421,6.930033,0.977721,1.974992,1.994941,0.000000,3.846692
0.020000,4.375721,6.904551,1.017619,2.014890,1.994941,-0.000000,3.821606
0.020000,4.343721,6.879408,1.058316,2.054789,1.994941,0.000000,3.792987
0.020000,4.310328,6.854780,1.099811,2.094688,1.994941,-0.000000,3.760580
0.020000,4.275449,6.830864,1.142104,2.134587,1.994941,-0.000000,3.724154
0.020000,4.239001,6.807884,1.185194,2.174486,1.994941,0.000000,3.683534
0.020000,4.200912,6.786087,1.229083,2.214384,1.994941,-0.000000,3.638634
0.020000,4.161131,6.765741,1.273770,2.254283,1.994941,0.000000,3.589495
0.020000,4.119633,6.747132,1.319254,2.294182,1.994941,-0.000000,3.536331
0.020000,4.076431,6.730547,1.365537,2.334081,1.994941,0.000000,3.479559
0.020000,4.031576,6.716266,1.412618,2.373980,1.994941,-0.000000,3.419812
0.020000,3.985162,6.704547,1.460496,2.413879,1.994941,0.000000,3.357928
0.020000,3.937322,6.695604,1.509173,2.453777,1.994941,-0.000000,3.294893
0.020000,3.888221,6.689604,1.558647,2.493676,1.994941,0.000000,3.231761
0.020000,3.838044,6.686646,1.608920,2.533575,1.994941,-0.000000,3.169557
0.020000,3.786981,6.686773,1.659990,2.573474,1.994941,0.000000,3.109190
0.020000,3.735218,6.689967,1.711859,2.613373,1.994941,0.000000,3.051386
0.020000,3.682924,6.696161,1.764525,2.653271,1.994941,-0.000000,2.996662
0.020000,3.630245,6.705256,1.817990,2.693170,1.994941,0.000000,2.945328
0.020000,3.577302,6.717124,1.872252,2.733069,1.994941,-0.000000,2.897516
0.020000,3.524191,6.731627,1.927312,2.772968,1.994941,0.000000,2.853212
0.020000,3.473101,6.747889,1.982971,2.792917,0.997470,-49.873524,2.814212
0.020000,3.420663,6.766827,2.038728,2.782735,-0.509109,-75.328959,2.776211
0.020000,3.369327,6.787522,2.094081,2.752604,-1.506579,-49.873524,2.741022
0.020000,3.319356,6.809649,2.148734,2.712705,-1.994941,-24.418089,2.708933
0.020000,3.270802,6.832945,2.202589,2.672806,-1.994941,-0.000000,2.680002
0.020000,3.223613,6.857196,2.255647,2.632907,-1.994941,0.000000,2.654171
0.020000,3.177729,6.882206,2.307906,2.593008,-1.994941,0.000000,2.631342
0.020000,3.133081,6.907795,2.359367,2.553109,-1.994941,0.000000,2.611394
0.020000,3.089602,6.933799,2.410030,2.513211,-1.994941,-0.000000,2.594190
0.020000,3.047219,6.960071,2.459895,2.473312,-1.994941,0.000000,2.579588
0.020000,3.005863,6.986477,2.508963,2.433413,-1.994941,-0.000000,2.567448
0.020000,2.965468,7.012898,2.557232,2.393514,-1.994941,0.000000,2.557631
0.020000,2.925968,7.039228,2.604703,2.353615,-1.994941,-0.000000,2.550006
0.020000,2.887303,7.065371,2.651376,2.313717,-1.994941,0.000000,2.544449
0.020000,2.849417,7.091240,2.697252,2.273818,-1.994941,0.000000,2.540846
0.020000,2.812258,7.116758,2.742329,2.233919,-1.994941,0.000000,2.539088
0.020000,2.775779,7.141857,2.786609,2.194020,-1.994941,0.000000,2.539078
0.020000,2.739937,7.166474,2.830090,2.154121,-1.994941,-0.000000,2.540723
0.020000,2.704695,7.190554,2.872773,2.114222,-1.994941,0.000000,2.543938
0.020000,2.670017,7.214046,2.914659,2.074324,-1.994941,0.000000,2.548641
0.020000,2.635877,7.236906,2.955746,2.034425,-1.994941,0.000000,2.554756
0.020000,2.602248,7.259094,2.996036,1.994526,-1.994941,-0.000000,2.562211
0.020000,2.569110,7.280575,3.035527,1.954627,-1.994941,0.000000,2.570933
0.020000,2.536446,7.301319,3.074221,1.914728,-1.994941,-0.000000,2.580854
0.020000,2.504246,7.321298,3.112117,1.874830,-1.994941,0.000000,2.591903
0.020000,2.472498,7.340490,3.149214,1.834931,-1.994941,0.000000,2.604011
0.020000,2.441200,7.358876,3.185514,1.795032,-1.994941,-0.000000,2.617108
0.020000,2.410349,7.376442,3.221015,1.755133,-1.994941,0.000000,2.631119
0.020000,2.379946,7.393175,3.255719,1.715234,-1.994941,-0.000000,2.645972
0.020000,2.349997,7.409069,3.289625,1.675335,-1.994941,0.000000,2.661588
0.020000,2.320509,7.424120,3.322732,1.635437,-1.994941,-0.000000,2.677890
0.020000,2.291491,7.438328,3.355042,1.595538,-1.994941,0.000000,2.694797
0.020000,2.262956,7.451698,3.386554,1.555639,-1.994941,-0.000000,2.712224
0.020000,2.234919,7.464236,3.417268,1.515740,-1.994941,0.000000,2.730088
0.020000,2.207394,7.475953,3.447184,1.475841,-1.994941,-0.000000,2.748303
0.020000,2.180398,7.486865,3.476301,1.435943,-1.994941,0.000000,2.766783
0.020000,2.153949,7.496987,3.504621,1.396044,-1.994941,0.000000,2.785443
0.020000,2.128067,7.506342,3.532143,1.356145,-1.994941,-0.000000,2.804200
0.020000,2.102768,7.514952,3.558867,1.316246,-1.994941,0.000000,2.822971
0.020000,2.078073,7.522844,3.584793,1.276347,-1.994941,-0.000000,2.841677
0.020000,2.053999,7.530046,3.609921,1.236448,-1.994941,0.000000,2.860242
0.020000,2.030566,7.536587,3.634251,1.196550,-1.994941,-0.000000,2.878597
0.020000,2.007789,7.542499,3.657783,1.156651,-1.994941,0.000000,2.896673
0.020000,1.985686,7.547816,3.680517,1.116752,-1.994941,0.000000,2.914411
0.020000,1.964272,7.552572,3.702453,1.076853,-1.994941,-0.000000,2.931754
0.020000,1.943561,7.556800,3.723591,1.036954,-1.994941,0.000000,2.948652
0.020000,1.923567,7.560537,3.743931,0.997056,-1.994941,-0.000000,2.965061
0.020000,1.904302,7.563816,3.763473,0.957157,-1.994941,0.000000,2.980942
0.020000,1.885777,7.566673,3.782218,0.917258,-1.994941,0.000000,2.996262
0.020000,1.868002,7.569141,3.800164,0.877359,-1.994941,0.000000,3.010992
0.020000,1.850985,7.571254,3.817312,0.837460,-1.994941,0.000000,3.025109
0.020000,1.834733,7.573045,3.833662,0.797561,-1.994941,0.000000,3.038595
0.020000,1.819253,7.574544,3.849214,0.757663,-1.994941,0.000000,3.051434
0.020000,1.804551,7.575783,3.863969,0.717764,-1.994941,0.000000,3.063615
0.020000,1.790631,7.576790,3.877925,0.677865,-1.994941,0.000000,3.075130
0.020000,1.777498,7.577593,3.891083,0.637966,-1.994941,-0.000000,3.085972
0.020000,1.765153,7.578217,3.903444,0.598067,-1.994941,0.000000,3.096140
0.020000,1.753601,7.578688,3.915006,0.558169,-1.994941,0.000000,3.105632
0.020000,1.742842,7.579027,3.925770,0.518270,-1.994941,0.000000,3.114449
0.020000,1.732878,7.579257,3.935737,0.478371,-1.994941,0.000000,3.122591
0.020000,1.723711,7.579397,3.944905,0.438472,-1.994941,0.000000,3.130062
0.020000,1.715340,7.579465,3.953276,0.398573,-1.994941,0.000000,3.136865
0.020000,1.707768,7.579478,3.960848,0.358674,-1.994941,0.000000,3.143003
0.020000,1.700994,7.579450,3.967623,0.318776,-1.994941,-0.000000,3.148481
0.020000,1.695017,7.579394,3.973599,0.278877,-1.994941,0.000000,3.153303
0.020000,1.689839,7.579323,3.978778,0.238978,-1.994941,-0.000000,3.157472
0.020000,1.685459,7.579245,3.983158,0.199079,-1.994941,0.000000,3.160991
0.020000,1.681877,7.579171,3.986741,0.159180,-1.994941,0.000000,3.163865
0.020000,1.679094,7.579106,3.989525,0.119282,-1.994941,0.000000,3.166096
0.020000,1.677108,7.579055,3.991512,0.079383,-1.994941,-0.000000,3.167686
0.020000,1.675919,7.579024,3.992701,0.039484,-1.994941,-0.000000,3.168637
0.020000,1.675427,7.579010,3.993193,0.009767,-1.485832,25.455435,3.169031
0.020000,1.675329,7.579008,3.993291,0.000000,-0.488362,49.873524,3.169109
0.020000,1.675329,7.579008,3.993291,0.000000,0.000000,24.418089,3.169109
